Number,Ticker,sector,city,industry,profitMargins,priceToBook,bookValue,shortRatio,revenuePerShare,operatingMargins,forwardEps,heldPercentInstitutions,heldPercentInsiders,marketCap,profitMargins,volume,totalDebt,totalCash,beta,totalCashPerShare,enterpriseValue,floatShares,volume,numberOfAnalystOpinions,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS,15/3/2020 0:00,10/4/2020 0:00,10/5/2020 0:00,10/9/2020 0:00,1/1/2021 0:00,20/2/2021 0:00,15/5/2021 0:00,10/9/2021 0:00
31,AXP,Financial Services,New York,Credit Services,0.18424,5.472753,32.004,2.63,47.492,0.2281,9.4,0.87245005,0.00109,1.39145E+11,0.18424,2375299,39324000256,29109999616,1.232275,36.642,1.49359E+11,641735094,2375299,26,DIIID,4,0,93.53600006,89.58750153,106.1139999,103.3949986,120.1700001,131.0779999,164.2799988,159.1899986
34,BAC,Financial Services,Charlotte,Banks—Diversified,0.3184,1.5254413,29.067,1.54,9.979,0.32126,3.11,0.74047995,0.00117,3.79964E+11,0.3184,39389385,5.74666E+11,7.47443E+11,1.551371,88.824,1.88522E+11,8389659169,39389385,25,IIIID,4,0,22.27800026,22.96000004,26.41400032,25.40749979,30.68750048,34.51200027,41.20599976,40.82499981
35,BAX,Healthcare,Deerfield,Medical Instruments & Supplies,0.09038,4.7698345,16.814,3.02,23.239,0.15579,4.02,0.88523,0.00174,40328728576,0.09038,2641235,6560000000,3182000128,0.67791,6.328,43860385792,501856346,2641235,14,IIDDI,2,0,77.79600067,84.7025013,86.03399963,82.59499931,80.63000107,78.32400208,81.97599792,82.1875
37,BBY,Consumer Cyclical,Richfield,Specialty Retail,0.04438,6.458898,16.605,3.31,194.878,0.061389998,8.48,0.81791,0.101739995,26863228928,0.04438,1729191,3991000064,4402999808,1.547826,17.579,27453120512,225435713,1729191,23,IIDID,3,0,61.85000153,63.08499908,80.40200043,107.1499996,101.7975006,118.1160004,112.2279999,111.5574989
38,BDX,Healthcare,Franklin Lakes,Medical Instruments & Supplies,0.09826,2.7950187,85.359,2.64,68.514,0.1842,13.11,0.87789,0.00673,69383356416,0.09826,1562484,17732999168,3176999936,0.768013,11.062,89709928448,286463589,1562484,15,IDIII,2,0,229.8860016,243.1725006,236.5460022,234.8974991,251.3974991,252.7860016,241.4660004,259.797493
39,BEN,Financial Services,San Mateo,Asset Management,0.15654,1.4603684,20.577,5.32,16.208,0.23843999,3.28,0.46978,0.43125,15187389440,0.15654,3098026,4028499968,3856199936,1.247982,7.669,17434449920,286657056,3098026,10,DIIID,5,1,18.31599998,16.84749985,22.61200027,20.31499958,24.78500032,27.52000008,33.81399994,31.30249977
40,BHF,Financial Services,Charlotte,Insurance—Life,-1.50295,0.28538382,172.925,4.55,34.338,-1.87762,13.36,0.83910006,0.00628,4233933824,-1.50295,496695,9020000256,7122999808,1.565412,85.705,5696141824,82548391,496695,9,IIIII,6,1,22.48200035,24.64499998,34.42400055,30.01875019,36.55875015,40.90799942,46.59600067,47.38499928
41,BIIB,Healthcare,Cambridge,Drug Manufacturers—General,0.16397,4.0296907,70.931,1.36,76.481,0.24025999,20.76,0.8631,0.00676,42598096896,0.16397,629562,7633099776,3050800128,0.47037,20.471,55975886848,148631053,629562,27,IDDID,3,0,291.1380005,312.6500015,290.547998,269.4575043,245.4874992,278.9740051,394.7380005,312.1874924
42,BK,Financial Services,New York,Asset Management,0.23136,1.2096792,46.161,1.54,17.798,0.29123,4.53,0.86600995,0.00253,48886861824,0.23136,4712361,65538998272,1.94365E+11,1.077461,225.175,-77885685760,861887549,4712361,16,IIIDI,4,0,32.71600037,35.70750046,39.95599976,35.875,42.82499886,42.77600021,50.24199982,52.72249985
43,BKR,Energy,Houston,Oil & Gas Equipment & Services,-0.00186,1.50462,16.775,3.1,27.868,0.05994,1.24,0.91691,0.044180002,26289731584,-0.00186,7635617,6773000192,4456999936,1.734782,5.38,26737014784,783624548,7635617,28,IIIID,8,1,12.30199986,12.47999978,17.31199989,13.98249984,21.32250023,23.4779995,24.85600014,23.2750001
44,BLK,Financial Services,New York,Asset Management,0.30385,3.6429057,231.793,4.03,118.461,0.39286,42.9,0.86091006,0.01096,1.28514E+11,0.30385,350275,7217999872,6199000064,1.194708,40.73,1.41821E+11,142523751,350275,11,IIIDI,6,1,409.45,453.7574997,545.1400024,549.3074951,720.4750061,713.6960083,875.323999,921.9825134
45,BLL,Consumer Cyclical,Westminster,Packaging & Containers,0.06808,8.587805,10.643,4.94,39.046,0.10744,4.04,0.84799004,0.0062,29852153856,0.06808,1062914,8126000128,571000000,0.49947,1.748,38060347392,324297903,1062914,15,IIIDI,2,0,65.6340004,67.25250053,70.96600189,81.21250153,91.30750084,89.79200134,80.8980011,95.97500038
46,BMY,Healthcare,New York,Drug Manufacturers—General,-0.114429995,3.399834,16.842,2.94,19.783,0.18547001,8,0.75448,0.00067,1.29185E+11,-0.114429995,27249584,46293000192,14016000000,0.587882,6.308,1.68581E+11,2192759433,27249584,17,IIIDD,2,0,54.65800018,57.98250008,59.07999954,58.7225008,61.66499996,60.52000046,67.14799805,64.20500088
47,BSX,Healthcare,Marlborough,Medical Devices,0.024500001,3.9005876,11.065,1.51,7.118,0.12339,1.84,0.93959,0.00246,61326475264,0.024500001,4163627,9447999488,2016000000,0.882608,1.419,69653684224,1416079758,4163627,29,IIDII,3,0,31.9840004,34.63250065,37.05199966,40.92749977,36.05500031,38.03600006,42.8659996,45.11999893
48,BWA,Consumer Cyclical,Auburn Hills,Auto Parts,0.05489,1.757327,26.546,8.98,62.113,0.113170005,5.01,0.99055,0.00469,11188909056,0.05489,1905411,4576999936,1552999936,1.466666,6.476,13911798784,238562449,1905411,17,DIDID,3,0,25.58200035,25.16750002,35.19000015,41.98250008,38.9574995,43.92200012,51.56000061,42.69000053
49,BXP,Real Estate,Boston,REIT—Office,0.11491,3.076528,37.006,7.55,17.624,0.32588002,3.02,1.01856,0.0017,17769025536,0.11491,640707,13006040064,557307008,1.239913,3.569,32642643968,143972365,640707,20,DIIID,3,0,115.4880005,97.32250214,100.1540009,84.95000076,91.71499825,93.16799927,121.9119995,111.6800003
50,C,Financial Services,New York,Banks—Diversified,0.30115998,0.8204994,88.178,2.35,34.54,0.37735,8.24,0.78350997,0.0023,1.49551E+11,0.30115998,11960710,5.81759E+11,9.61484E+11,1.91048,474.389,-2.18192E+11,2022792416,11960710,24,DIIID,5,1,48.37200012,43.50999928,55.44800034,51.0975008,62.1875,64.73199997,73.15600128,70.22249985
51,CAG,Consumer Defensive,Chicago,Packaged Foods,0.10148,1.9612633,17.193,5.25,24.067,0.18579,2.63,0.86245,0.00395,16394867712,0.10148,4705101,9506199552,80700000,0.821739,0.168,26963965952,477806302,4705101,18,IIIDD,2,0,26.16199989,31.37999964,32.98600006,35.03250122,35.88500023,34.23000031,37.09200058,33.26500034
52,CAH,Healthcare,Dublin,Medical Distribution,0.00376,7.9190373,6.151,1.76,556.394,0.011039999,6.19,0.87389,0.00236,14133108736,0.00376,2257913,6714999808,3407000064,1.067778,11.73,18338439168,289645599,2257913,14,IIIDD,3,0,46.51800003,49.26500034,55.56200104,48.93250084,53.6675005,51.79400024,58.16000061,53.33000088
53,CAT,Industrials,Deerfield,Farm & Heavy Construction Machinery,0.07991,6.4502907,30.256,1.82,79.044,0.12791,12.01,0.70301,0.00192,1.06906E+11,0.07991,2713300,38189998080,10492000256,0.916304,19.154,1.46952E+11,546542017,2713300,22,IIIID,6,1,98.4980011,123.6949997,129.8100021,151.2250023,185.4174995,206.5140015,217.1559998,206.3574982
54,CB,Financial Services,Zurich,Insurance—Property & Casualty,0.20944999,1.3912952,131.374,1.9,86.816,0.19143999,12.79,0.89602995,0.00528,82194522112,0.20944999,2123091,19504001024,6312999936,0.731576,14.389,94507081728,436041782,2123091,15,DIIII,5,1,122.0819992,114.9174995,131.3,120.8075008,152.6199989,165.7959991,165.8840027,181.3800011
55,CBOE,Financial Services,Chicago,Financial Data & Stock Exchanges,0.12755999,4.4981136,28.094,2.87,32.019,0.20751,4.86,0.82764,0.00453,13481910272,0.12755999,398049,1446000000,569600000,0.65393,5.342,14079536128,105973750,398049,12,DIIII,2,0,97.64400024,94.37749863,100.9500015,88.88999748,93.43750191,96.95599823,115.3919998,124.6975002
56,CCI,Real Estate,Houston,REIT—Specialty,0.17579001,8.221738,20.655,3.34,14.03,0.29865998,3.14,0.92450994,0.00465,73394511872,0.17579001,971818,26385999872,339000000,0.389456,0.784,1.09258E+11,429793338,971818,19,IIDID,2,0,149.3240021,154.1974983,169.2699982,159.284996,155.3074989,164.2220032,195.547998,193.2249985
57,CCL,Consumer Cyclical,Miami,Travel Services,0,1.3614808,17.503,1.93,0.144,-42.709217,0.24,0.52603,0.088999994,28370569216,0,32061845,32241999872,9271000064,2.307692,8.006,50576695296,1026945804,32061845,15,DIIID,8,1,18.57800007,11.48000002,21.1920002,17.88000011,20.75999975,23.82399979,28.99800034,23.09250021
58,CDNS,Technology,San Jose,Software—Application,0.23468,16.4299,9.137,2.47,10.554,0.26063,3.35,0.88048,0.01386,41773137920,0.23468,581331,347185984,847160000,1.016137,3.061,43391799296,272777761,581331,17,IIIII,7,1,59.83199921,70.48999977,91.15,102.1275005,134.7424965,140.0240021,129.7620026,165.829998
59,CERN,Healthcare,North Kansas City,Health Information Services,0.14688,4.9734077,14.29,4.67,17.947,0.15519,3.63,0.87492996,0.00168,21414598656,0.14688,1820132,1867101952,1474222976,0.729891,4.893,23937794048,300717447,1820132,19,IIIDD,2,0,65.42599945,65.75250053,70.39199982,70.7349987,78.31500053,72.05,80.08600006,75.23999977
60,CF,Basic Materials,Deerfield,Agricultural Inputs,0.09945,4.324056,14.121,1.56,21.336,0.18604,3.03,0.95918,0.0048,13098287104,0.09945,2126729,3945999872,777000000,1.094708,3.612,18754416640,213455662,2126729,18,IIIID,5,1,27.03400002,29.32749987,30.6659996,32.49250031,40.00249958,45.35999985,52.47200012,45.44999981
61,CFG,Financial Services,Providence,Banks—Regional,0.30897,1.0098618,48.571,1.28,15.399,0.38952,4.28,0.95774,0.00438,20891865088,0.30897,2973697,7162999808,14696999936,1.739107,34.493,13214875648,423739690,2973697,16,DIIID,7,1,22.43400002,20.24000072,27.49399986,26.89499998,36.59500027,42.10200043,47.16800003,42.90999985
62,CHD,Consumer Defensive,Ewing,Household & Personal Products,0.1596,6.3482976,13.098,4.55,20.476,0.18541999,3.27,0.89043,0.0016,20392204288,0.1596,862830,2131600000,149800000,0.393222,0.61,22523944960,244921983,862830,15,IIDDD,2,0,65.66200027,68.21750069,74.53600006,92.92500114,86.39999962,81.98999939,84.82400055,83.68999863
63,CHRW,Industrials,Eden Prairie,Integrated Freight & Logistics,0.03496,6.4660153,14.021,8.86,127.178,0.04575,5.05,0.93891,0.00733,12056782848,0.03496,726806,1672263936,217611008,0.710326,1.636,14002134016,132410169,726806,17,IIDDD,3,0,62.48600006,72.56749916,81.37799835,97.98500252,93.24500084,90.05799866,97.87599945,88.31999969
